	Mon Dec 11 14:25 2017 Time and Allocation Profiling Report  (Final)

	   profilingTest +RTS -hc -p -ls -N4 -RTS

	total time  =       37.61 secs   (150435 ticks @ 1000 us, 4 processors)
	total alloc = 362,913,097,464 bytes  (excludes profiling overheads)

COST CENTRE                  MODULE    SRC                             %time %alloc

calculateZ                   NeuralNet NeuralNet.hs:(213,1)-(214,87)    27.6   15.6
derivateNeuronWeightsandBias NeuralNet NeuralNet.hs:(164,1)-(165,144)   25.5   27.4
separateFronts               NeuralNet NeuralNet.hs:221:1-40            18.9   33.0
averageHelper                NeuralNet NeuralNet.hs:(269,1)-(270,73)    18.0   17.0
derivateNeuronActivation     NeuralNet NeuralNet.hs:(159,1)-(160,141)    6.0    3.9


                                                                                                                 individual      inherited
COST CENTRE                            MODULE                  SRC                            no.     entries  %time %alloc   %time %alloc

MAIN                                   MAIN                    <built-in>                     147          0    0.0    0.0   100.0  100.0
 CAF                                   GHC.Conc.Signal         <entire-module>                239          0    0.0    0.0     0.0    0.0
 CAF                                   GHC.Float               <entire-module>                232          0    0.0    0.0     0.0    0.0
 CAF                                   GHC.IO.Encoding         <entire-module>                222          0    0.0    0.0     0.0    0.0
 CAF                                   GHC.IO.Encoding.Iconv   <entire-module>                220          0    0.0    0.0     0.0    0.0
 CAF                                   GHC.IO.Exception        <entire-module>                214          0    0.0    0.0     0.0    0.0
 CAF                                   GHC.IO.FD               <entire-module>                213          0    0.0    0.0     0.0    0.0
 CAF                                   GHC.IO.Handle.FD        <entire-module>                211          0    0.0    0.0     0.0    0.0
 CAF                                   GHC.IO.Handle.Internals <entire-module>                210          0    0.0    0.0     0.0    0.0
 CAF                                   GHC.IO.Handle.Text      <entire-module>                209          0    0.0    0.0     0.0    0.0
 CAF                                   GHC.Read                <entire-module>                197          0    0.0    0.0     0.0    0.0
 CAF                                   Text.Read.Lex           <entire-module>                175          0    0.0    0.0     0.0    0.0
 CAF                                   GHC.Event.Poll          <entire-module>                164          0    0.0    0.0     0.0    0.0
 CAF                                   GHC.Event.Thread        <entire-module>                163          0    0.0    0.0     0.0    0.0
 CAF                                   GHC.Integer.Type        <entire-module>                158          0    0.0    0.0     0.0    0.0
 CAF:$creadListPrec2_r43Y              NeuralNet               NeuralNet.hs:18:62-65          278          0    0.0    0.0     0.0    0.0
  readListPrec                         NeuralNet               NeuralNet.hs:18:62-65          323          1    0.0    0.0     0.0    0.0
 CAF:$creadListPrec3_r443              NeuralNet               NeuralNet.hs:28:54-57          283          0    0.0    0.0     0.0    0.0
  readListPrec                         NeuralNet               NeuralNet.hs:28:54-57          315          1    0.0    0.0     0.0    0.0
 CAF:$creadPrec1_r43S                  NeuralNet               NeuralNet.hs:9:87-90           272          0    0.0    0.0     0.0    0.0
  readPrec                             NeuralNet               NeuralNet.hs:9:87-90           330          1    0.0    0.0     0.0    0.0
 CAF:$creadPrec2_r43X                  NeuralNet               NeuralNet.hs:18:62-65          277          0    0.0    0.0     0.0    0.0
  readPrec                             NeuralNet               NeuralNet.hs:18:62-65          327          1    0.0    0.0     0.0    0.0
 CAF:$creadPrec3_r442                  NeuralNet               NeuralNet.hs:28:54-57          282          0    0.0    0.0     0.0    0.0
  readPrec                             NeuralNet               NeuralNet.hs:28:54-57          318          1    0.0    0.0     0.0    0.0
 CAF:$creadPrec_r3R7                   NeuralNet               NeuralNet.hs:24:82-85          266          0    0.0    0.0     0.0    0.0
  readPrec                             NeuralNet               NeuralNet.hs:24:82-85          321          1    0.0    0.0     0.0    0.0
 CAF:$cshowList2_r44b                  NeuralNet               NeuralNet.hs:18:56-59          289          0    0.0    0.0     0.0    0.0
  showList                             NeuralNet               NeuralNet.hs:18:56-59          340          1    0.0    0.0     0.0    0.0
 CAF:$cshowList3_r44f                  NeuralNet               NeuralNet.hs:28:48-51          292          0    0.0    0.0     0.0    0.0
  showList                             NeuralNet               NeuralNet.hs:28:48-51          296          1    0.0    0.0     0.0    0.0
 CAF:$dRead1_r2XK                      Main                    <no location info>             262          0    0.0    0.0     0.0    0.0
 CAF:$dRead1_r441                      NeuralNet               <no location info>             281          0    0.0    0.0     0.0    0.0
 CAF:$dRead2_r2XL                      Main                    <no location info>             263          0    0.0    0.0     0.0    0.0
 CAF:$dRead_r2XJ                       Main                    <no location info>             261          0    0.0    0.0     0.0    0.0
 CAF:$dRead_r43W                       NeuralNet               <no location info>             276          0    0.0    0.0     0.0    0.0
 CAF:$dShow1_r2XI                      Main                    <no location info>             260          0    0.0    0.0     0.0    0.0
 CAF:$dShow1_r44d                      NeuralNet               <no location info>             291          0    0.0    0.0     0.0    0.0
 CAF:$dShow_r2Xm                       Main                    <no location info>             259          0    0.0    0.0     0.0    0.0
 CAF:$dShow_r449                       NeuralNet               <no location info>             288          0    0.0    0.0     0.0    0.0
 CAF:main                              :Main                   profilingTest.hs:2:1-4         265          0    0.0    0.0     0.0    0.0
 CAF:main                              Main                    profilingTest.hs:2:1-4         264          0    0.0    0.0     0.0    0.0
  main                                 Main                    profilingTest.hs:(2,1)-(7,89)  294          1    0.0    0.0     0.0    0.0
 main                                  Main                    profilingTest.hs:(2,1)-(7,89)  295          0    0.7    0.8   100.0  100.0
  train                                NeuralNet               NeuralNet.hs:(76,1)-(79,92)    298          1    0.0    0.0    98.6   98.5
   trainHelper                         NeuralNet               NeuralNet.hs:(82,1)-(84,199)   299        100    0.0    0.0    98.6   98.5
    trainEpoch                         NeuralNet               NeuralNet.hs:(91,1)-(92,189)   308        100    0.0    0.0    98.6   98.5
     trainEpochHelper                  NeuralNet               NeuralNet.hs:(109,1)-(112,98)  310       5000    0.0    0.0    63.2   51.5
      item2                            NeuralNet               NeuralNet.hs:117:1-22          345      15000    0.0    0.0     0.0    0.0
      derivateNet                      NeuralNet               NeuralNet.hs:(129,1)-(130,141) 311       5000    0.0    0.0    35.1   35.7
       derivateNetHelper               NeuralNet               NeuralNet.hs:(133,1)-(139,111) 332      10000    0.0    0.0    34.8   35.4
        derivateLayer                  NeuralNet               NeuralNet.hs:(144,1)-(148,118) 344     640100    0.1    0.0    30.6   30.9
         derivateNeuronWeightsandBias  NeuralNet               NeuralNet.hs:(164,1)-(165,144) 358  502412800   21.5   23.3    21.5   23.3
         derivateLayer.cDAct           NeuralNet               NeuralNet.hs:148:63-118        364     640000    0.0    0.0     5.7    3.6
          derivateNeuronActivation     NeuralNet               NeuralNet.hs:(159,1)-(160,141) 365   82560000    5.7    3.6     5.7    3.6
         derivateLayer.x               NeuralNet               NeuralNet.hs:147:63-89         366     640000    0.0    0.0     3.3    4.0
          separateFronts               NeuralNet               NeuralNet.hs:221:1-40          367     640000    3.3    4.0     3.3    4.0
        derivateNetHelper.cDacts       NeuralNet               NeuralNet.hs:138:96-110        369       5000    0.0    0.0     0.0    0.0
        derivateNetHelper.cLOut        NeuralNet               NeuralNet.hs:136:96-154        372       5000    0.0    0.0     4.2    4.5
         derivateLayer                 NeuralNet               NeuralNet.hs:(144,1)-(148,118) 373     640100    0.0    0.0     4.2    4.5
          derivateNeuronWeightsandBias NeuralNet               NeuralNet.hs:(164,1)-(165,144) 408   82572800    3.6    3.8     3.6    3.8
          derivateLayer.cDAct          NeuralNet               NeuralNet.hs:148:63-118        375     640000    0.0    0.0     0.3    0.3
           derivateNeuronActivation    NeuralNet               NeuralNet.hs:(159,1)-(160,141) 376    7040000    0.3    0.3     0.3    0.3
          derivateLayer.x              NeuralNet               NeuralNet.hs:147:63-89         377     640000    0.0    0.0     0.2    0.3
           separateFronts              NeuralNet               NeuralNet.hs:221:1-40          378     640000    0.2    0.3     0.2    0.3
        derivateNetHelper.cResult      NeuralNet               NeuralNet.hs:139:96-111        407       5000    0.0    0.0     0.0    0.0
        derivateNetHelper.x            NeuralNet               NeuralNet.hs:137:96-119        370       5000    0.0    0.0     0.0    0.0
         separateFronts                NeuralNet               NeuralNet.hs:221:1-40          371       5000    0.0    0.0     0.0    0.0
       derivateNet.x                   NeuralNet               NeuralNet.hs:130:71-141        383       5000    0.0    0.0     0.3    0.3
        derivateLastLayer              NeuralNet               NeuralNet.hs:(153,1)-(155,103) 385      50100    0.0    0.0     0.3    0.3
         derivateNeuronWeightsandBias  NeuralNet               NeuralNet.hs:(164,1)-(165,144) 409    6451000    0.3    0.3     0.3    0.3
         derivateLastLayer.cDact       NeuralNet               NeuralNet.hs:155:78-103        389      50000    0.0    0.0     0.0    0.0
