	Tue Dec  5 14:27 2017 Time and Allocation Profiling Report  (Final)

	   profilingTest +RTS -hc -p -RTS

	total time  =       20.54 secs   (20543 ticks @ 1000 us, 1 processor)
	total alloc = 42,054,255,336 bytes  (excludes profiling overheads)

COST CENTRE                  MODULE    SRC                             %time %alloc

derivateNeuronWeightsandBias NeuralNet NeuralNet.hs:(161,1)-(162,144)   26.1   23.6
calculateZ                   NeuralNet NeuralNet.hs:(210,1)-(211,97)    23.3   14.6
averageHelper                NeuralNet NeuralNet.hs:(270,1)-(271,73)    15.7   14.7
separateFronts               NeuralNet NeuralNet.hs:215:1-40            15.4   28.5
main                         Main      profilingTest.hs:(2,1)-(6,88)     5.8    6.6
derivateNeuronActivation     NeuralNet NeuralNet.hs:(156,1)-(157,141)    5.4    3.4
readPrec                     NeuralNet NeuralNet.hs:8:87-90              3.1    3.4
showsPrec                    NeuralNet NeuralNet.hs:17:56-59             1.9    2.6
updateAttribute              NeuralNet NeuralNet.hs:102:1-81             1.2    0.4


                                                                                                                 individual      inherited
COST CENTRE                            MODULE                  SRC                            no.     entries  %time %alloc   %time %alloc

MAIN                                   MAIN                    <built-in>                     146          0    0.0    0.0   100.0  100.0
 CAF                                   GHC.Conc.Signal         <entire-module>                238          0    0.0    0.0     0.0    0.0
 CAF                                   GHC.Float               <entire-module>                231          0    0.0    0.0     0.0    0.0
 CAF                                   GHC.IO.Encoding         <entire-module>                221          0    0.0    0.0     0.0    0.0
 CAF                                   GHC.IO.Encoding.Iconv   <entire-module>                219          0    0.0    0.0     0.0    0.0
 CAF                                   GHC.IO.Exception        <entire-module>                213          0    0.0    0.0     0.0    0.0
 CAF                                   GHC.IO.FD               <entire-module>                212          0    0.0    0.0     0.0    0.0
 CAF                                   GHC.IO.Handle.FD        <entire-module>                210          0    0.0    0.0     0.0    0.0
 CAF                                   GHC.IO.Handle.Internals <entire-module>                209          0    0.0    0.0     0.0    0.0
 CAF                                   GHC.Read                <entire-module>                196          0    0.0    0.0     0.0    0.0
 CAF                                   Text.Read.Lex           <entire-module>                174          0    0.0    0.0     0.0    0.0
 CAF                                   GHC.Integer.Type        <entire-module>                157          0    0.0    0.0     0.0    0.0
 CAF:$creadListPrec2_r3Zd              NeuralNet               NeuralNet.hs:17:62-65          276          0    0.0    0.0     0.0    0.0
  readListPrec                         NeuralNet               NeuralNet.hs:17:62-65          321          1    0.0    0.0     0.0    0.0
 CAF:$creadListPrec3_r3Zi              NeuralNet               NeuralNet.hs:27:54-57          281          0    0.0    0.0     0.0    0.0
  readListPrec                         NeuralNet               NeuralNet.hs:27:54-57          313          1    0.0    0.0     0.0    0.0
 CAF:$creadPrec1_r3Z7                  NeuralNet               NeuralNet.hs:8:87-90           270          0    0.0    0.0     0.0    0.0
  readPrec                             NeuralNet               NeuralNet.hs:8:87-90           328          1    0.0    0.0     0.0    0.0
 CAF:$creadPrec2_r3Zc                  NeuralNet               NeuralNet.hs:17:62-65          275          0    0.0    0.0     0.0    0.0
  readPrec                             NeuralNet               NeuralNet.hs:17:62-65          325          1    0.0    0.0     0.0    0.0
 CAF:$creadPrec3_r3Zh                  NeuralNet               NeuralNet.hs:27:54-57          280          0    0.0    0.0     0.0    0.0
  readPrec                             NeuralNet               NeuralNet.hs:27:54-57          316          1    0.0    0.0     0.0    0.0
 CAF:$creadPrec_r3MD                   NeuralNet               NeuralNet.hs:23:82-85          264          0    0.0    0.0     0.0    0.0
  readPrec                             NeuralNet               NeuralNet.hs:23:82-85          319          1    0.0    0.0     0.0    0.0
 CAF:$cshowList2_r3Zq                  NeuralNet               NeuralNet.hs:17:56-59          287          0    0.0    0.0     0.0    0.0
  showList                             NeuralNet               NeuralNet.hs:17:56-59          338          1    0.0    0.0     0.0    0.0
 CAF:$cshowList3_r3Zu                  NeuralNet               NeuralNet.hs:27:48-51          290          0    0.0    0.0     0.0    0.0
  showList                             NeuralNet               NeuralNet.hs:27:48-51          294          1    0.0    0.0     0.0    0.0
 CAF:$dRead1_r2Tu                      Main                    <no location info>             260          0    0.0    0.0     0.0    0.0
 CAF:$dRead1_r3Zg                      NeuralNet               <no location info>             279          0    0.0    0.0     0.0    0.0
 CAF:$dRead2_r2Tv                      Main                    <no location info>             261          0    0.0    0.0     0.0    0.0
 CAF:$dRead_r2Tt                       Main                    <no location info>             259          0    0.0    0.0     0.0    0.0
 CAF:$dRead_r3Zb                       NeuralNet               <no location info>             274          0    0.0    0.0     0.0    0.0
 CAF:$dShow1_r3Zs                      NeuralNet               <no location info>             289          0    0.0    0.0     0.0    0.0
 CAF:$dShow_r2T7                       Main                    <no location info>             258          0    0.0    0.0     0.0    0.0
 CAF:$dShow_r3Zo                       NeuralNet               <no location info>             286          0    0.0    0.0     0.0    0.0
 CAF:main                              :Main                   profilingTest.hs:2:1-4         263          0    0.0    0.0     0.0    0.0
 CAF:main                              Main                    profilingTest.hs:2:1-4         262          0    0.0    0.0     0.0    0.0
  main                                 Main                    profilingTest.hs:(2,1)-(6,88)  292          1    0.0    0.0     0.0    0.0
 main                                  Main                    profilingTest.hs:(2,1)-(6,88)  293          0    5.8    6.6   100.0  100.0
  train                                NeuralNet               NeuralNet.hs:(75,1)-(78,92)    296          1    0.0    0.0    89.3   87.4
   trainHelper                         NeuralNet               NeuralNet.hs:(81,1)-(83,199)   297         20    0.0    0.0    89.3   87.4
    trainEpoch                         NeuralNet               NeuralNet.hs:(90,1)-(91,189)   306         20    0.0    0.0    89.3   87.4
     trainEpochHelper                  NeuralNet               NeuralNet.hs:(106,1)-(109,98)  308        500    0.0    0.0    58.1   45.5
      item2                            NeuralNet               NeuralNet.hs:114:1-22          343       1500    0.0    0.0     0.0    0.0
      derivateNet                      NeuralNet               NeuralNet.hs:(126,1)-(127,141) 309        500    0.0    0.0    34.7   30.8
       derivateNetHelper               NeuralNet               NeuralNet.hs:(130,1)-(136,111) 330       1000    0.0    0.0    34.5   30.6
        derivateLayer                  NeuralNet               NeuralNet.hs:(141,1)-(145,118) 342      64020    0.0    0.0    31.3   26.7
         derivateNeuronWeightsandBias  NeuralNet               NeuralNet.hs:(161,1)-(162,144) 356   50240128   23.2   20.1    23.2   20.1
         derivateLayer.cDAct           NeuralNet               NeuralNet.hs:145:63-118        362      64000    0.0    0.0     5.3    3.1
          derivateNeuronActivation     NeuralNet               NeuralNet.hs:(156,1)-(157,141) 363    8256000    5.3    3.1     5.3    3.1
         derivateLayer.x               NeuralNet               NeuralNet.hs:144:63-89         364      64000    0.0    0.0     2.8    3.4
          separateFronts               NeuralNet               NeuralNet.hs:215:1-40          365      64000    2.8    3.4     2.8    3.4
        derivateNetHelper.cDacts       NeuralNet               NeuralNet.hs:135:96-110        367        500    0.0    0.0     0.0    0.0
        derivateNetHelper.cLOut        NeuralNet               NeuralNet.hs:133:96-154        370        500    0.0    0.0     3.1    3.9
         derivateLayer                 NeuralNet               NeuralNet.hs:(141,1)-(145,118) 371      64020    0.0    0.0     3.1    3.9
          derivateNeuronWeightsandBias NeuralNet               NeuralNet.hs:(161,1)-(162,144) 406    8256128    2.7    3.3     2.7    3.3
          derivateLayer.cDAct          NeuralNet               NeuralNet.hs:145:63-118        373      64000    0.0    0.0     0.2    0.2
           derivateNeuronActivation    NeuralNet               NeuralNet.hs:(156,1)-(157,141) 374     704000    0.2    0.2     0.2    0.2
          derivateLayer.x              NeuralNet               NeuralNet.hs:144:63-89         375      64000    0.0    0.0     0.2    0.3
           separateFronts              NeuralNet               NeuralNet.hs:215:1-40          376      64000    0.2    0.3     0.2    0.3
        derivateNetHelper.cResult      NeuralNet               NeuralNet.hs:136:96-111        405        500    0.0    0.0     0.0    0.0
        derivateNetHelper.x            NeuralNet               NeuralNet.hs:134:96-119        368        500    0.0    0.0     0.0    0.0
         separateFronts                NeuralNet               NeuralNet.hs:215:1-40          369        500    0.0    0.0     0.0    0.0
